name,hlngr_mean,hlngr_median,hlngr_std_dev,ecldn_mean,ecldn_median,ecldn_std_dev
C20,0.14289987572409252,0.14964169363527727,0.07927154931211101,0.14289987572409252,0.14964169363527727,0.07927154931211101
C4,0.08287605008853859,0.096270004095731,0.03885558515402909,0.08287605008853859,0.096270004095731,0.03885558515402909
C26,0.1306821026012114,0.20142260398166936,0.11429802718924366,0.1306821026012114,0.20142260398166936,0.11429802718924366
C21,0.14161652695212856,0.16026880032465363,0.06212827012334569,0.14161652695212856,0.16026880032465363,0.06212827012334569
C24,,,,,,
C17,,,,,,
C25,,,,,,
C9,0.15107358339421417,0.1480256462182412,0.011561398575678618,0.15107358339421417,0.1480256462182412,0.011561398575678618
n0147,0.07518380870733918,0.0789519284864524,0.043471730075123345,0.07518380870733918,0.0789519284864524,0.043471730075123345
C15,0.19188928279265172,0.18475682494931708,0.03886724207382832,0.19188928279265172,0.18475682494931708,0.03886724207382832
C8,0.09366901093628854,0.05067017158916575,0.08340970498142514,0.09366901093628854,0.05067017158916575,0.08340970498142514
trial1,0.22757677528550763,0.22757677528550763,0.0,0.22757677528550763,0.22757677528550763,0.0
C7,0.13387170506676763,0.12257657375159502,0.1262315512886141,0.13387170506676763,0.12257657375159502,0.1262315512886141
n0147DFS,0.0701682210352762,0.04738949413678416,0.05128461604690469,0.0701682210352762,0.04738949413678416,0.05128461604690469
C18,0.17516821877630503,0.14439228793998524,0.08966287650086188,0.17516821877630503,0.14439228793998524,0.08966287650086188
C23,0.08046095192607504,0.08046095192607504,0.04044845966429642,0.08046095192607504,0.08046095192607504,0.04044845966429642
trial2,,,,,,
C2,0.02289236676797733,0.022079143442379157,0.014160291111544187,0.02289236676797733,0.022079143442379157,0.014160291111544187
n0147OS,0.10726282058214015,0.1022983617173184,0.0702893078060261,0.10726282058214015,0.1022983617173184,0.0702893078060261
C14,0.08655311180409542,0.10131811266278146,0.08080780775545243,0.08655311180409542,0.10131811266278146,0.08080780775545243
C13,0.1863017365274614,0.1863017365274614,0.0,0.1863017365274614,0.1863017365274614,0.0
C6,0.16188406675692885,0.1494031678233082,0.05580823841618806,0.16188406675692885,0.1494031678233082,0.05580823841618806
C22,0.1510454219620657,0.1651192847440105,0.09945423836113959,0.1510454219620657,0.1651192847440105,0.09945423836113959
C10,,,,,,
C1,0.25329233308880394,0.2573534225862495,0.09953813058036487,0.25329233308880394,0.2573534225862495,0.09953813058036487
dad,0.018608392545006413,0.0005791813234015489,0.04145563501096972,0.018608392545006413,0.0005791813234015489,0.04145563501096972
C19,0.06881084330481205,0.037657457211310585,0.0781784468161425,0.06881084330481205,0.037657457211310585,0.0781784468161425
danish,0.04135197450363065,0.04135197450363065,0.022015101723734488,0.04135197450363065,0.04135197450363065,0.022015101723734488
C5,,,,,,
C27,0.13295794602794694,0.13295794602794694,0.0,0.13295794602794694,0.13295794602794694,0.0
C16,0.1604433391678387,0.1604433391678387,0.0,0.1604433391678387,0.1604433391678387,0.0
cchs,0.058316877335188054,0.04224888254880647,0.05535385514766135,0.058316877335188054,0.04224888254880647,0.05535385514766135
C12,0.10094445810004073,0.10094445810004073,0.0028689662476481664,0.10094445810004073,0.10094445810004073,0.0028689662476481664
C3,0.13015645252766073,0.1276947023047431,0.02750146780710177,0.13015645252766073,0.1276947023047431,0.02750146780710177
trial4,0.044265462111978,0.044265462111978,0.0,0.044265462111978,0.044265462111978,0.0
C11,,,,,,
C28,,,,,,
