name,hlngr_mean,hlngr_median,hlngr_std_dev,ecldn_mean,ecldn_median,ecldn_std_dev
C20,0.1957761294635589,0.22662878566998804,0.06767929084461194,0.4303545440472346,0.3535533905932738,0.1341495764832365
C4,0.06705062910189523,0.09087158935112517,0.043731060983617474,0.5050762722761054,0.7071067811865476,0.31943828249996997
C26,0.1523037851452071,0.1995495890768022,0.09831402188616759,0.45953749487585777,0.5773502691896257,0.27080818915794536
C21,0.14385160569382335,0.16017276166970482,0.07161228654207856,,,
C24,0.02349388056355568,0.003981411871587602,0.046692854298278394,0.2896700570302119,0.3333198038020201,0.2586211686110875
C17,0.08320657386723475,0.08275363944094688,0.05873073584239345,0.4673795315721091,0.447213595499958,0.19694645636980285
C25,0.13087581448119018,0.09062251031064317,0.10885310808665413,0.47932851930393444,0.447213595499958,0.14557177019898965
C9,0.14531863150061644,0.1480256462182412,0.02914833080088399,0.6971041825408187,0.7071067811865476,0.08350361280935657
n0147,0.09240047911710636,0.08213252248883497,0.06412803671284512,0.27163481829528324,0.198058067569092,0.2067658763177839
C15,0.14252804755468365,0.1581295107666111,0.08857322299164523,0.2541180925821853,0.20851441405707474,0.1950571669509555
C8,0.19855221683348145,0.22321171385538102,0.09368702498227212,0.2741405839323019,0.19611613513818404,0.17812190612455772
trial1,0.2071988517681683,0.20259615752910853,0.14331792737300725,0.3662101426648938,0.34344336196330355,0.1966542094046788
C7,0.18930078183316706,0.1902688159605927,0.08815536966807755,0.3516011922216266,0.33333333333333326,0.14405458253740622
n0147DFS,0.12214886120248805,0.1283910088412185,0.06979775925540961,0.23279587100744673,0.1571438224485125,0.1918812575475042
C18,0.13148323394168732,0.13526984211472043,0.06665042347122146,0.6651281464195363,0.7071067811865476,0.16709629418932362
C23,0.07938012956332238,0.07221774225473243,0.06169749844311359,0.3515206556383978,0.30886955529730076,0.2174863167752147
trial2,0.14486900390810822,0.16688883726359852,0.08731807496380334,0.18183641817415436,0.15617376188860607,0.1424166890665093
C2,0.02155327710165643,0.017176820352493048,0.03332549436179923,0.5199598295491803,0.7071067811865476,0.31194374023854715
n0147OS,0.11455279653931864,0.13358057429134415,0.06241663293595238,,,
C14,0.14319998752201993,0.16201736810366968,0.08948595704902014,0.19837979911154235,0.16903085094570333,0.1546394064621859
C13,0.1816403333191981,0.16297299399606288,0.06055100085835796,0.3191720541774948,0.31622776601683794,0.061637922597634676
C6,0.14936884564989003,0.1617030232250575,0.08105111049212549,,,
C22,0.17535735288041984,0.19923287511859228,0.09910884280702564,,,
C10,0.1349486194993541,0.14094897552689842,0.03363131447386007,0.6759332564245601,0.7071067811865476,0.14515929907037278
C1,0.21477602534314985,0.22208959828716676,0.12264338058005136,0.11123912117204901,0.04458779620677098,0.15254170729197997
dad,0.020848813640973955,0.0010002378776793996,0.04835160462675255,0.5322911585794139,0.7071067811865476,0.30504558724120695
C19,0.10434817375681944,0.10150945510539125,0.09600407398972666,,,
C5,0.11713461484086803,0.10080339280422611,0.061294649532207375,0.40079677095637334,0.4082482904638631,0.13158109376850863
C27,0.13423646995845345,0.13423642814309797,0.09260626345522585,0.29668290090978294,0.2425356250363329,0.1937272578776501
C16,0.11866022810271735,0.15839675653339683,0.07839540205765014,0.4734773319656834,0.5,0.2011961916536018
C12,0.10896017459216852,0.10378888907286662,0.04588883681287771,0.5616160324598655,0.5773502691896258,0.10593666913831741
C3,0.027487848906828413,0.007249625684123616,0.058291760988130124,0.6232955056258868,0.7071067811865476,0.2285589450836101
trial4,0.19200141811857346,0.20775068459590787,0.07676470941431526,0.24661164474912717,0.21821789023599242,0.11398262939870604
C11,0.031165873956930244,0.02644652681789444,0.024253000873985762,0.6947690401843833,0.7071067811865476,0.09258445049854362
C28,0.19272962540017916,0.20807371802065686,0.0708470293172519,0.22984991121370885,0.18257418583505539,0.1289423313106348
